1278705043,@starsportsindia chillana h toh india-india chillana pak-pak toh murgi bhi karti h.. #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278696579,@gurmeetramrahim #blockbustermsg ji pita g jrur dhyaan rkhenge,"
Non Aggressive
",-
1278696580,#aapkidilli #aapsweep ccahai vaccum cleaner kharida lo asali saphai jhaड़u se hoti hai|,"
Covertly Aggressive
",Political Aggression
1278696581,"""anhoni ko honi karde honi ko anhoni"" dhoni #indvssa","
Non Aggressive
",-
1278696582,rohit sharma aaj apne aap pe bada hi proud feel kar raha hoga #indvsuae,"
Non Aggressive
",-
1278696583,yeh sohneya deed dikha deve sadi eid suhani ho jawe rakh taza jakham mohabbat da na preet purani ho jave @gurmeetramrahim #msgincinemas,"
Non Aggressive
",-
1278696584,‘ramjhana’ ke bada ‘zamitabha’ ki skriptasa pasamda ai http://t.co/26oewvndcy,"
Non Aggressive
",-
1278696585,"#cwc15 #indvssa phaॉrma memm laute zikhara dhavana ne jada़a zanadara ardhazataka,hindi mem sabase teja laiva skora ke lie klika karem-http://t.co/xugmzlvqgp","
Non Aggressive
",-
1278696586,@vaersha @diptikapoor kisi ne jisa taraha apane sitarom ko sajaya hai. hama ga़ja़la ke rezami dhage mem yu~ moti pirote haim.. #blockbustermsg,"
Non Aggressive
",-
1278696587,rt @harryinsan3: @gurmeetramrahim #msg3successfulweeks lanedar g aajo dreams vich mein son laga g aapa pyaria pyaria gall kra ge g raam naa…,"
Non Aggressive
",-
1278696588,yeh deewar nahi tutegi kyunki yeh deewar aam aadmi se bani hai. #aapsweep #delhidecides #kiskidilli http://t.co/vknqzrjnej,"
Non Aggressive
",-
1278696589,"@gurmeetramrahim #msgincinemas chand taron se milaye tera chehra kaise,yeh kashish na dekhi kabhi chand mei,na sitaron mei...diwani hun apki","
Non Aggressive
",-
1278696590,uae ke khilaड़iyom se zekha khuza hom ya dukhi hom..donom hi kesa mem caक़u aura tarabuje vala eksampala una para phita baithata hai :d #indvsuae,"
Covertly Aggressive
",Geographical Aggression
1278696591,south africa walo ye mahatma gandhi ka nahi rahul gandhi ka zamana hai.. #indvssa,"
Covertly Aggressive
",Political Aggression
1278696592,rt @navbharattimes: apa ke gopala raya babarapura sita se 35 hajara se jyada votom se jite| apa ki alaka lamba camdani cauka se jitim| #delhidecides #ki…,"
Non Aggressive
",-
1278696593,bijepi ke satha to bahuta bura hua lakina kirana bedi ke satha bahuta accha hua | maya mili na rama | #aapsweep,"
Covertly Aggressive
",Political Aggression
1278696594,endukura bp penchutaru..mana target 320 #indvssa,"
Non Aggressive
",-
1278696595,"kashmir aur cricket... humara tha, humara hain aur humara rahega.. :) :) #wewontgiveitback #indvspak","
Covertly Aggressive
",Geographical Aggression
1278696596,rt @mautplus: abki baar valentine #aap (@arvindkejriwal ) ke sath &lt;3 ;) #aapsweep #aapocalypse,"
Non Aggressive
",-
1278696597,"rt @sanjaysainiinsa: #msg3successfulweeks dera sacha sauda anami sukh ashram, kotra dera.","
Non Aggressive
",-
1278696598,"na bhuto na bhavisyati, bharatiya lokatamtra ke itihasa ki sabase baड़i jita http://t.co/rzw135xdjj #arvindkejriwal #aapsweep #aap #aapstorm #aapkidilli","
Non Aggressive
",-
1278696599,aura isa keca ke ज़riye bharata ne ye maica jita liya hai ! #indvspak #worldcup2015,"
Non Aggressive
",-
1278696600,"rt @kumar_ke5hav: ""bakari pati khata hai taki kadha़i khala, jo nara bakari khata haim, tako kauna havala"" bhakts b lyk: sikulara kabira ne bakari ki jagaha gaya kyom …","
Covertly Aggressive
",Political Aggression
1278696601,"jo loga gau mamsa khate the unase agraha haim ki hari sabjiyaॉ , phala khaai, prakrti ne bahota diya haim anya kisi bhi jiva ki hatya na kare #beefban","
Non Aggressive
",-
1278696602,rt jasvirsjasvir: rt jsingh341: rt rakeshmks7311: rt geetinsan85: gurmeetramrahim #msgincinemas pita g dhan dhan satguru tera hi asra mera …,"
Non Aggressive
",-
1278696603,ab yeh kaun bola ki ab de villiers lagori champion hai #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278696604,@gurmeetramrahim #msgincinemas #msgincinemas tera dar chhod kr satguru ye deewane kahan jaye.. shman jalti ko chhod kr ye parwane kahan jaye,"
Non Aggressive
",-
1278696605,aba ऑphisa mem suta ki jagaha maphalara pahana ke kama calaya ja sakata hai #delhidecides #kiskidelhi #feb10witharnab #mufflermanreturns,"
Covertly Aggressive
",Political Aggression
1278696606,"rt @telugustates: choodadaniki current theega kooda sanna gane untundi , kaani muttu kuntene shock adiripoddi . #rahane #indvssa","
Non Aggressive
",-
1278696607,"rt @rickykanda13: @itwingdss #msg3successfulweeks jhutha kahum to saba kucha hai mere pasa, aura saca kahum to eka @gurmeetramrahim tere siva kucha bhi nahim.…","
Non Aggressive
",-
1278696608,@kitanurag @being_humor @iamgunjangrunge bharata ki ख़uzi mem naco be saba 💃💃💃💃 #jayahinda #jayahimda #indvspak https://t.co/7yuefgdsqp,"
Non Aggressive
",-
1278696609,iski bc itni jaldi match aa rhe sala neend b puri nh ho rhi pta nh bc ye star wale #indvspak,"
Overtly Aggressive
",Curse / Abuse
1278696610,"rt @santoshdnaik: aja jarura koi ye gana yada karake ro raha hai ""jiro dia mere bharata ne"" #aapsweep","
Covertly Aggressive
",Political Aggression
1278696611,"rishte me toh hum tumhare baap lagte hain,naam hai - @arvindkejriwal #aapdialogue #aapsweep #aapocalypse","
Non Aggressive
",-
1278696612,rt @aashish81us: #shikhardhawan pichley match k bachey huye run iss match main bana raha hai #iccwc2015 #indvssa,"
Non Aggressive
",-
1278696613,rt @i_am_vyom: @hdfclife ballebaji powerplay nahim liya hai #indvsuae #myteammypride,"
Non Aggressive
",-
1278696614,"do not support the beef ban gomamsa ke ""nisedha"" ka samarthana nahim karata #beefban","
Non Aggressive
",-
1278696615,rt @zee24taasnews: - aravimda kejarivala yamcam 'araesaesa'kaduna abhinamdana - http://t.co/hudxfcgf3h #kiskidilli #delhidecides #bjp #rss http://t.co/rl…,"
Non Aggressive
",-
1278696616,#unionbudget2015: #arunjaitley ke #budget ke bada 47% ritarna ke lie ina #shares para lagaem damva http://t.co/fnnkylhuqx,"
Non Aggressive
",-
1278696617,rt @punjabkesari: 11:33 am : sabsidi ke lie janadhana-adhara-mobaila ka istemala hoga http://t.co/vpfswm1jjs #budget2015 #unionbudget2015,"
Non Aggressive
",-
1278696618,rt @rrekha1000: @gurmeetramrahim #msgthefilm #msgincinemas #msgcouching pita ji apni rahamat aur aashirwad hamesha bnaye rkhna ji 🙏🙏💐 http:…,"
Non Aggressive
",-
1278696619,@newsflickshindi yeh hui na baat #indvssa .. mauqa mauqa* :d,"
Non Aggressive
",-
1278696620,rt @pintuv489: calo khaira ye bhi pata cala gaya ki aphrika ka rastragana bharata se lamba hai ..! #indvssa,"
Non Aggressive
",-
1278696621,sutrom se pata cala hai ki pappu ji duba gaye kyom ki unhomne uae ko 90 se pahale all out ka damva lagaya #indvsuae,"
Covertly Aggressive
",Political Aggression
1278696622,@puneetpossible @jeetensingh aura bhi haim pemca abhi kahani mem phri bijali phri pani baba ji ka thullu #aapsweep http://t.co/orlkq7gpxt,"
Overtly Aggressive
",Political Aggression
1278696623,"kucha ruta para trena bahuta hai lekina vetimga mahino ki hoti hai aba dabala laina bicha dijiye sara, eka hi taima para eka hi nama ki do trena calem #railbudget2015","
Non Aggressive
",-
1278696624,bhajapa ko isa bata ka dara satae to accha hai ki.. .. jo dilli ka muda hai vahi deza ka bhi ho sakata hai| #aapsweep #delhidecides,"
Covertly Aggressive
",Political Aggression
1278696625,@gurmeetramrahim #blockbustermsg pitaji sab pe rehmat rakhna ji,"
Non Aggressive
",-
1278696626,"soeba akhtara ne abhi abhi bayana diya hai ki hamare samaya ki aura bata thi para aja kala to ""dayapara"" ka calana hai, paka tima ko darane ki koi jarurata nahi hai. #indvspak","
Covertly Aggressive
",Geographical Aggression
1278696627,"digvijaya simha ne sare kamgresi netaom ko phona karake bola diya hai aba bija़i hone ka koi bahana nahi calega,sabako meri barata mem calana hai #aapstorm","
Covertly Aggressive
",Political Aggression
1278696628,@gurmeetramrahim #msgincinemas yeaaaaahhh papa ji sb pvr ka yehi haal h papa,"
Non Aggressive
",-
1278696629,zikhara dhavana ke bala dekhakara lagata hai jaise kala himdu mahasabha valo ne usako kisi lada़ki ke satha pakada़ liya ho| #indwins #indvspak,"
Covertly Aggressive
",Political Aggression
1278696630,rt @trevias_azuis: aura isi ke satha 102 pe nalayaki ka vizva rikaॉrda seta| imdiya valom pathakhe phoda़ hi lo :p #indvsuae,"
Covertly Aggressive
",General Non-threatening Aggression
1278696631,"rt @trending_india: pakistana to jita nahi sakta, lekina koito indiya ko haravo bc ~ paki phaॅnsa #indvssa","
Overtly Aggressive
",Geographical Aggression
1278696632,ye patakhe na jal payenge!! :-) #indvspak #icc #worldcup2015 http://t.co/j87nxcpem5,"
Covertly Aggressive
",Geographical Aggression
1278696633,rt shainainsan: rt shashi_5362005: #msg100croreclub #blockbustermsg jiyenge marenge..mar mitenge gurmeetramrahim ..tere liye,"
Non Aggressive
",-
1278696634,"rt @railminindia: bharatiya rela ko teja़ banaya jaega, 9 nae hai spida kaॉridora banaye jaemge #railbudget2015","
Non Aggressive
",-
1278696635,rt @anubhav_anzz: nila asamana hariyali ke upara chaya hua hai aura chaya rahega 😌 #indvspak #jayahimda,"
Covertly Aggressive
",General Non-threatening Aggression
1278696636,"bada़e parde para ‘emaesaji: da maisemjara’, kai jilom mem dhara-144 lagu http://t.co/3co2ctez9j #msgincinemas http://t.co/a8f8tycczn","
Non Aggressive
",-
1278696637,"bhula hona prakrti hai ,mana lena samskrti hai aura sudhara lena pragati hai ....!!! lekina ye bata ina muphtakhorom kona samajaye bhai #delhidecides","
Covertly Aggressive
",Political Aggression
1278696638,"""eka bata aba bhi santosa deti hai aapki amdhi ke bavajuda bjp ka vota baimka tasa se masa nahi hua.... yahi takata to hame nayi urja deti hai |""#aapsweep","
Non Aggressive
",-
1278696639,diyara @shaziailmi #delhidecides ke apa nyuja cainala para bane rahe. #dillikiski,"
Non Aggressive
",-
1278696640,"@im_mnts dekhane vali bata ye hogi jaba modi bihara election pracara ke lie ""mana ki bata"" karate hue kahi rediyo pe ro na de| 😂😂😂😂😂😂😂😂😂 #aapsweep","
Covertly Aggressive
",Political Aggression
1278696641,pakistana to harana hi tha ji| 3 ovara kama khilaye imdiya valo ne| yahi to bhrastacara hai ji| janata saba dekha rahi hai #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278696642,"jo khaa re hai, khaana chor k aao... jo nahane gae the, towel mein hi wapas aa jao.. match shuru ho gaya phenchod..!! #indvssa","
Non Aggressive
",-
1278696643,baraka bola ke gae the modi samajha nahim paye:baड़e baड़e zaharom mem aisi choti choti... #aapsweep #14febwithkejriwal,"
Covertly Aggressive
",Political Aggression
1278696644,"@gurmeetramrahim #blockbustermsg saare jag me hoga ek hi naam ""shah satnam shah satnam""","
Non Aggressive
",-
1278696645,@starsportsindia kyun parey ho chakkar may?? koi nahi takkar may...!! #indwins in #indvspak #chakdeindia,"
Covertly Aggressive
",General Non-threatening Aggression
1278696646,"vaha tina aap kaimdideta jo hara gae,unaki halata una baccom jaisi hai jinaki klasa mem saba pharsta aye ho aura basa vo hi फ़aila ho gae ho #aapsweep #aapstorm","
Covertly Aggressive
",Political Aggression
1278696647,eka nayi rajaniti ki zuruata ho cuki hai ...#delhidecides,"
Non Aggressive
",-
1278696648,rt @sanajdb: maukaaa maukaaaa hume bhi do maukaaa maukaaa😃 #indvssa,"
Non Aggressive
",-
1278696649,#delhidecides free mein lo chahe kuch bhi ho,"
Covertly Aggressive
",Political Aggression
1278696650,this govt is anti-farmer - jamai raja framer - baith ja bhosdike tu kha jaye usse toh yahi thik hai #landacquisitionbill,"
Overtly Aggressive
",Political Aggression
1278696651,@haddhaiyaar:jo loga #beefban pe dharma ki batem kararahe haim unase puchana cahu~ga ki jababhara ke cikana-matana pelate ho taba kaha jata hai dharma dhomgapana banda karo,"
Covertly Aggressive
",General Non-threatening Aggression
1278696652,"@pepsiindia aagaya apna bhai jadeja, iske bowling style se koi nahi bachega. #peptalk #indvssa #cwc15","
Non Aggressive
",-
1278696653,benchodh aakhir mein gud gobar kar diye !! #indvspak,"
Overtly Aggressive
",Curse / Abuse
1278696654,dezatila 400 relve sthanakamvara #wifi denyata yenara: relvemamtri sureza prabhu http://t.co/qtcko7rmau #railbudget2015 #sureshprabhu @mataonline,"
Non Aggressive
",-
1278696655,biga baॉsa aura loka sabha ilekzana ke bada bhi agara koi apane bete ka nama rahula rakhata hai to usa se baड़a papi bapa kahi nahim hoga #whereisrahul #rahulonleave,"
Covertly Aggressive
",Political Aggression
1278696656,stayn daag ache hai #indvssa,"
Non Aggressive
",-
1278696657,dilli mem phri wifi milega kya kejarivala ji isaka pasavarda bataemge - rahula gamdhi #aapsweep,"
Covertly Aggressive
",Political Aggression
1278696658,cuna hai apa hi ne “apa” ko aba to karana hai “apa” ko nahim karemge jo “apa” to bhugatana bhi hai apako #aapsweep @arvindkejriwal @rjsayema @drkumarvishwas,"
Covertly Aggressive
",Political Aggression
1278696659,abki baar beef sarkaar #beefban,"
Covertly Aggressive
",Political Aggression
1278696660,rt @ohmykalyan: jumping japanggg jampak jampakkkkk!! #indvspak,"
Non Aggressive
",-
1278696661,rt @tarsem_insan: 3618 followers my🐣 3+9=9 1+8=9 9+9=18 18+18=36 hara amkade ka yoga 9 isilie hama bhi maula ki kirapa se nau vara nau.. yani fit &amp; fi…,"
Non Aggressive
",-
1278696662,@dhakadandbest @binakahelunga miyamdada miya~ ko choड़o.. aja to #isi bhi nahi baca sakati pakistana ko balatkara se... #indvspak #jayahimda,"
Overtly Aggressive
",Geographical Aggression
1278696663,@gurmeetramrahim mujhe lagta ha msg filme har kisi ko dekhni chahiye #msgthefilm #msgincinemas,"
Non Aggressive
",-
1278696664,"rt jsingh341: rt jatinstan: rt 3a6ab89dee41446: anandmohit57 #blockbustermsg #mustwatchmsg bhaiyo or bahno deklo sher aa gaya,nhi nhi babba…","
Non Aggressive
",-
1278696665,rt @indiatimes: pappu rocket jala! aa gaya mauka! #indvssa #maukamauka http://t.co/awxdxh5k4a,"
Covertly Aggressive
",Political Aggression
1278696666,rt @fekunama: rela bajata mem pheku eksapresa nama ki eka trena calane ki ghosana ki gayi hai|ye trena calegi nahim sirpha lambi lambi ha~kegi #railbudget20…,"
Covertly Aggressive
",Political Aggression
1278696667,babu evarina team india managing director ravi shastri ni appandi amma mike mundu rechipotunadu :o #indvssa #savsind #cwc15,"
Non Aggressive
",-
1278696668,"bachchon, mera ashirvad lete jao vijayi bhava #indvssa http://t.co/hv4jjlafi1","
Non Aggressive
",-
1278696669,#railbudget2015 kya isa bara ka rela bajata apaki ummidom para khara utara hai? poll mem hissa lijie ...www.liveindiahindi.com http://t.co/32zaacrbvt,"
Non Aggressive
",-
1278696670,maa da laadla bigad gaya.. ho maa da laadla bigad gaya #whereisrahul #rahulonleave,"
Covertly Aggressive
",Political Aggression
1278696671,rt @pawandbg: modi ne vikasa kiya to vipaksa kha़tma - vipaksa ke lie vikasa rokana jaruri - bina ja़mina vikasa asambhava - #landacquisitionbill rokane ke…,"
Covertly Aggressive
",Political Aggression
1278696672,"kucha bacce isa temzana mem ji rahe haim iit , aiaiema taka to thika tha aba paॉlitiksa bhi #aapsweep","
Covertly Aggressive
",Political Aggression
1278696673,"naremdra modi ji ne naksali, arajaka ko फ़ona kiya. #delhidecides #kiskidilli","
Overtly Aggressive
",Political Aggression
1278696674,lo ji phoड़ do patake #indvssa #indiavssouthafrica,"
Non Aggressive
",-
1278696675,"@gurmeetramrahim agr desh v shrashtii ki sewa krna paap hai,, to ye paap hm aakhri saans tk krte rhenge:-) # blockbustermsg","
Non Aggressive
",-
1278696676,"how accurately delhites made it :""mitro~ dilli ka eka sala barabada karane valo~ ko isaki saja milani cahiye ki nahi~""? #aapsweep @drkumarvishwas","
Covertly Aggressive
",Political Aggression
1278696677,rt @sushantbsinha: kejarivala ki jita isa mayane mem acchi hai ki unake pasa khuda ko sabita karane ka ye akhiri mauka hai aura unhem 200% mehanata karani hogi| …,"
Non Aggressive
",-
1278696678,kamgresi - ye kya bajata hua? saba sara ke upara se nikala ja raha hai ! he @sureshpprabhu madada karo! #railbudget2015,"
Covertly Aggressive
",Political Aggression
1278696679,@gurmeetramrahim #blockbustermsg mahazivaratri mana rahe hai ji msg dekha kara apaki rahamata ka kamala hai pitaji ....rama ji teri bata kamala hai,"
Non Aggressive
",-
1278696680,aja zapatha ke bada agnipatha para calana hai: kumara vizvasa #aapkacm #aapsweep @drkumarvishwas,"
Non Aggressive
",-
1278696681,"itne sangharsh ke baad, 'sachchai jeet ki hui' :) #kiskidilli #delhidecides","
Non Aggressive
",-
1278696682,eka aura jihadi ne @gharvapsi kara li...zanadara | #indvspak #jayahinda,"
Covertly Aggressive
",Political Aggression
1278696683,rt @sejal_modi: mauka - mauka?? . . . aisa mauka phir kahan milega?? #indvssa,"
Non Aggressive
",-
1278696684,rt @pawan7p: @gurmeetramrahim #msgincinemas pita jee balle balle karwa rahe hoo jee,"
Non Aggressive
",-
1278696685,agar kal india har gayi matlb world cup fixed hai #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278696686,rt ranuinsann: gurmeetramrahim #msg3successfulweeks gulabi aakhe jo teri dekhi dil mera kho gya,"
Non Aggressive
",-
1278696687,"rt @munishbali: amsu ruka hi nahi rahe | jaya ho ""@fpjindia: latest result: aap - 63, bjp - 6, congress - 0, others - 1 #delhidecides""","
Covertly Aggressive
",Political Aggression
1278696688,kya baat h... sham! #indvssa #cwc15,"
Non Aggressive
",-
1278696689,rt @akfordelhicm: pradhana sevaka pahale @arvindkejriwal se milana bhi nahim cahata tha aja usane unhem kaॉla karake badhai di. ugate hue suraja ko salama :) #aap…,"
Covertly Aggressive
",Political Aggression
1278696690,bete ko baap ke saamne uchhal na nahi chahiye... waarna kohli aur raina jeisa thenga padega #indvspak,"
Covertly Aggressive
",Geographical Aggression
1278696691,"yatri tikata se jyada khane pine ki cijom para kharca karata hai,paramtu use sabase ghatiya sarvisa milata isaka jada़ bhrastacarahai isedura kare #railbudget2015","
Non Aggressive
",-
1278696692,rt @karishmakhehra: rainaaaaa tuuu. hai jaise tuuuuu! #indvsuae,"
Non Aggressive
",-
1278696693,@gurmeetramrahim #msgincinemas 💖pyare pyare rubb g💖 dhan dhansatguru tera hi aasra pa plz simran ki💪 baksho g pa http://t.co/slonksyydb,"
Non Aggressive
",-
1278696694,jaba harana hi hota hai to khelate hi kyum haim ye pakistani ? bina beijjati ke amka de dene cahie bharata ko| #indvspak #jaya himda,"
Overtly Aggressive
",Geographical Aggression
1278696695,rt @arshleendhingra: #aapsweep #aapkidilli #5saalkejriwal aunty police bula legi 😛 http://t.co/6q2t6kclax,"
Covertly Aggressive
",Political Aggression
1278696696,"#msgyouthicon ""ye to hada ho gayi yara.. ye dila roja mujhe ye kahakara darata hai ki.. yada karo use varana maim dhadakana choड़ dumga"" #msg3successfulweeks","
Non Aggressive
",-
1278696697,"kaॉmgresa ko ""mayanasa"" site nahi mila sakati isaliye ""0"" para hi rukana pada !!! lolzz... 😹😹😹😹🙈🙉🙊 ... #delhielectionresults #delhidecides 😂😂😂😂","
Covertly Aggressive
",Political Aggression
1278696698,rt @karunasama1: lanka lag gayi sa walo ki. #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278696699,ramalila maidana taiyara hai itihasa ka gavaha banane ke lie| #aapkacm #aapsweep http://t.co/ckknmwxdy5,"
Non Aggressive
",-
1278696700,#blockbustermsg pita ji hamem vishakhapatnam me apa itani khuziyam de rahe ho jisaka varnana nahim kiya ja sakata apa isi taraha rehamata banaye rakhana ji,"
Non Aggressive
",-
1278696701,"@gurmeetramrahim #blockbustermsg jalakrukhi dikha kar, muskura kar loot lete hain nigao se nigao ko mila kar loot lete hain","
Non Aggressive
",-
1278696702,"#modi ji kai mahino se hatha mem jhaड़u lekara guma rahe the, zayada isi cakkara mem dilli valo ne #aap valo ko vota de diye| #delhidecides #aapsweep","
Covertly Aggressive
",Political Aggression
1278696703,india ka doosra naam hi jeet hai #indvspak,"
Covertly Aggressive
",Geographical Aggression
1278696704,rt @deepakmonga777: @gurmeetramrahim #msgincinemas pitaji hamare sare parivara para hameza rahamata bhara hatha rakhana aura seva sumarana karane ka bala bakazana |…,"
Non Aggressive
",-
1278696705,#aapsweep kamgresa ka kahana hai ki hama dil‍li mem kisi ko samarthana nahim demge.#congress,"
Covertly Aggressive
",Political Aggression
1278696706,rt @varanasilive: aba stara sportsa vale kala #indvsuae maica ki hailaitsa ki jagaha pura maica dikhayemge| 😂😂,"
Non Aggressive
",-
1278696707,#feku ab agli baar mat fekna. #aapkidilli #aapsweep @arvindkejriwal @3darnab @ravishndtv @sardesairajdeep @shaziailmi http://t.co/plkyp9p1ot,"
Covertly Aggressive
",Political Aggression
1278696708,"rt shatyuvma: rt davindervirk199: ""jasmer477: rukhsarbhagu gurmeetramrahim insan_honey dhan dhan satguru tera hi aasra #blockbustermsg ?? ?…","
Non Aggressive
",-
1278696709,#india motham santhoshinchataniki adi independence day kavalsina avasaram ledu adi #indvspak lo india gelusthe chaalu.. @teju912 @kyvskumar,"
Non Aggressive
",-
1278696710,#freewifi vo bhi pure 400 stezanom para #prabhukirail #kejriwal se prerita laga rahi hai |#modiexpress #railbudget2015,"
Covertly Aggressive
",Political Aggression
1278696711,dhoni ki apila ko nakarana muzkila hi nahim namumakina bhi hai 😂😂 #indvspak #jayahimda,"
Non Aggressive
",-
1278696712,kya haar. itni tez bowling kaun karta hai? hato na. #indvspak #cutetweeting,"
Covertly Aggressive
",Political Aggression
1278696713,agara kisi ke pasa gabbara simha ka nambara hai to use bata dena ki|| . 5 aura 6 marca ko holi hai varana tamga karata rahega - holi kaba hai ? kaba hai holi .#indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278696714,"#pakistan ko to patakhe phoड़ne ka mauka nahim mila, imdiya ka kya hoga? #indvssa #cwc15 http://t.co/bmblujb2qt","
Covertly Aggressive
",Geographical Aggression
1278696715,aisey barey barey desho mein aesi choti choti batain ho jati he. #indvssa,"
Non Aggressive
",-
1278696716,modi ka sina sau imca ka ho gaya imdiya ki jita pe ! soniya ji ka sina sau imca ho gaya itali ki jita pe ! #indvssa #maukamauka,"
Covertly Aggressive
",Political Aggression
1278696720,ennama neenga pakistan ah ipadi vechu seiringalema... #indvspak.. #wewon'tgiveitback... http://t.co/cf7e9zvkx4,"
Non Aggressive
",-
1278696721,gaind jeet jayegi:- kapil dev #indvsuae,"
Non Aggressive
",-
1278696722,@rajeshviveka hahahahahahaha himdi mem gali inako samajha bhi nahim ayegi #indvssa #bleedblue #worldcup2015 #wor #wontgiveitback,"
Covertly Aggressive
",General Non-threatening Aggression
1278696723,"pamjaba, jammu kazmira mem aiims khulega- - @arunjaitley @finminindia #budget4mii #budget2015 #sabkabudget #bajata2015 #unionbudget2015","
Non Aggressive
",-
1278696724,"nai ghosanae kama! samanya suvidhae jaise ke zuddha pani,khana,taॉyaleta pe jora jyada| well done #prabhukirail #railbudget2015","
Non Aggressive
",-
1278696725,joker aur choker toh gaye #indvssa,"
Covertly Aggressive
",General Non-threatening Aggression
1278696726,indori_tweets: kala ke kucha dilita karane paड़emge ....aja patakhe phoड़ne ka mauka jo mila || #indvssa,"
Non Aggressive
",-
1278696727,chillana hai toh india india chillao... pak pak toh murgiya chilati hai #indvspak @hrsanjaynegi #cwc15,"
Covertly Aggressive
",Geographical Aggression
1278696728,"maharastra mem go -hatya bamdi kanuna lagu, modiji hame sampurna bharata mem gau -hatya bamdi cahie, jaya zri rama #beefban http://t.co/slbil7exjx","
Non Aggressive
",-
1278696729,apa ki dilli hamari dilli ama adami ki dilli #delhidecides,"
Non Aggressive
",-
1278696730,"@drkumarvishwas @anushkasharma saara pyar to 14 ko nikal gaya hoga, bachi sirf khunnas wo bechare pakistan pe nikal di. #indvspak","
Covertly Aggressive
",General Non-threatening Aggression
1278696731,"relvetila bichana kasa asava, yasathi amhi enaayaephatikaduna dijhaina ghenara- prabhu http://t.co/0lqu88ias4 #prabhumcirelve #railbudget2015","
Non Aggressive
",-
1278696732,mujhe bhi caढ़a le bhai maica dekhana he | #indvssa http://t.co/fzcp2c24do,"
Non Aggressive
",-
1278696733,rt @raajasaheb: zoeba akhtarava ki mara - mara ke aruna lala aura kapila paji phada़ die hai ..!! #indvspak,"
Covertly Aggressive
",General Non-threatening Aggression
1278696734,rt @being_bhardwaj: hada kara di bhamda midiya aura kiraye ke dharanebaja़om ne| #annareturns #arvindannaback #landacquisitionbill http://t.co/lxfxbld…,"
Overtly Aggressive
",Political Aggression
1278696735,rt @surjit77777: @gurmeetramrahim pita ji pehli bar cinema ghar mein jayegai ji premi #msgincinemas,"
Non Aggressive
",-
1278696736,kala modi kejarivala ko nakzala vadi kaha raha thee aja modi kejarivala ko caya pine ka amamtrana de rahe he :) #delhiresults #delhidecides,"
Covertly Aggressive
",Political Aggression
1278696737,india sa live : dhavanacya zatakapathopatha ajimkya rahanece jhatapata ardhazataka http://t.co/91epd9oc2g #cwc2015 #indvssa #worldcup #wc2015,"
Non Aggressive
",-
1278696738,basa bajana cahie gana.....caka de caka imdiya #indvspak,"
Non Aggressive
",-
1278696739,"“@gurmeetramrahim #blockbustermsg suno gor se drug mafia walo, ab chahe kitna jor lagalo, sabko nasha chudaenge rock star papa ji","
Non Aggressive
",-
1278696740,"@gurmeetramrahim #blockbustermsg mainu lagiyan preetan satguru teriyan ,le lo satsang mitthiyan ghanaria","
Non Aggressive
",-
1278696741,bijepi :- ye kya kiya apa ne ho ho ji ?? apa samarthaka:- #aapsweep #bjpweep @joinaap @arvindkejriwal,"
Covertly Aggressive
",Political Aggression
1278696742,"#railbudget2015 rela mamtri sureza prabhu ne kaha- relave mem yatri kiraya nahim badha़ega http://t.co/ivkjbraxyz""","
Non Aggressive
",-
1278696743,"@dwivedijispeaks ""siddhyasiddhayoh samo bhutva samatvam yoga ucyate"" visada ka tyaga karem| kucha nahim luta| kendra mem bhajapa hai #delhidecides","
Non Aggressive
",-
1278696744,"relave ko zesa 359 pariyojanaom ke lie 1,82,000 karoda se bhi adhika rupae ki jarurata hogi| #relabajata #modigovt #railbudget2015","
Non Aggressive
",-
1278696745,&gt; aba tikatom ki edavamsa bukimga 4 mahine pahale ho sakegi|#railbudget2015 http://t.co/gmigng1o0o,"
Non Aggressive
",-
1278696746,jeet ka jazba haar pr ghalib ajata hy ! #showdowncorneredtigers #indvspak #crushhindustan,"
Covertly Aggressive
",Geographical Aggression
1278696747,rt jasvirsjasvir: rt jsingh341: rt jsingh341: rt kusumawasthi7: rt sheenaminsan: #blockbustermsg #msgincinemas dis revolutionry n inspirati…,"
Non Aggressive
",-
1278696748,rt @iawoolford: jaba a rahe haim rana aneka kya karem? dinara breka #indvsuae,"
Non Aggressive
",-
1278696749,eka aura ahama prazna ki dilli yadi purna rajya bana jaegi to bharata ki rajadhani ka kya hoga?? #delhidecides,"
Non Aggressive
",-
1278696750,rishte mein to hum #aap lagte hain.. - kejri to kiran #delhidecides #kiskidilli,"
Covertly Aggressive
",Political Aggression
1278696751,himduom mem janajagarana jagarana ki bahuta ज़rurata hai||ve gaya na becem|yadi palana nahim kara sakate to gauzala mem dem|gaya na milane para ve kise katemge?#beefban,"
Covertly Aggressive
",Communal Aggression
1278696752,"@iamvibhor_ arre hamari awaz buland hai, australia kya moon tak pahuch jayegi....india india #indvssa #peptalk","
Non Aggressive
",-
